Tabela 9297 - Pessoas de 25 anos ou mais de idade com deficiência, por nível de instrução	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4
Variável - Pessoas de 25 anos ou mais de idade com deficiência (Mil pessoas)				
Unidade da Federação	Ano x Nível de instrução			
	2022			
	Sem instrução e fundamental incompleto	Fundamental completo e médio incompleto	Médio completo e superior incompleto	Superior completo
Rondônia	92	15	19	10
Acre	38	4	10	5
Amazonas	126	20	51	18
Roraima	16	4	7	3
Pará	471	69	117	30
Amapá	33	5	12	4
Tocantins	92	11	17	9
Maranhão	398	43	78	29
Piauí	226	25	34	16
Ceará	588	95	139	35
Rio Grande do Norte	197	33	51	20
Paraíba	224	26	45	19
Pernambuco	572	77	149	35
Alagoas	216	21	38	15
Sergipe	166	19	37	12
Bahia	899	112	242	77
Minas Gerais	1123	158	280	93
Espírito Santo	195	35	53	19
Rio de Janeiro	622	185	308	130
São Paulo	1745	411	698	310
Paraná	604	94	152	53
Santa Catarina	262	62	85	29
Rio Grande do Sul	639	141	164	64
Mato Grosso do Sul	130	18	37	18
Mato Grosso	168	36	53	24
Goiás	344	61	92	39
Distrito Federal	92	23	51	31
Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua Anual - 3º trimestre				
